GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
oficina360,com.techchallenger.oficina360.dtos.ordemservico.detalhes,ServicosAdicionadosDTO,0,9,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.dtos.ordemservico.listagem,OrdemServicoFiltroDTO,0,24,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.frameworks.mappers.usuario,UsuarioDTOMapper,4,39,2,2,2,16,2,3,0,3
oficina360,com.techchallenger.oficina360.frameworks.config,OrdemServicoConfig,0,133,0,0,0,23,0,23,0,23
oficina360,com.techchallenger.oficina360.frameworks.config,VeiculoServiceConfig,0,32,0,0,0,6,0,6,0,6
oficina360,com.techchallenger.oficina360.frameworks.config,UsuarioServiceConfig,0,16,0,0,0,3,0,3,0,3
oficina360,com.techchallenger.oficina360.frameworks.config,OpenApiConfig,0,73,0,0,0,26,0,5,0,5
oficina360,com.techchallenger.oficina360.frameworks.config,ServicosServiceConfig,0,29,0,0,0,6,0,6,0,6
oficina360,com.techchallenger.oficina360.frameworks.config,EstoqueServiceConfig,0,42,0,0,0,8,0,8,0,8
oficina360,com.techchallenger.oficina360.frameworks.config,AutorizacaoServiceConfig,0,10,0,0,0,2,0,2,0,2
oficina360,com.techchallenger.oficina360.frameworks.config,ClienteServiceConfig,0,28,0,0,0,6,0,6,0,6
oficina360,com.techchallenger.oficina360.frameworks.config,NotificacaoUseCaseConfig,0,9,0,0,0,2,0,2,0,2
oficina360,com.techchallenger.oficina360,Oficina360Application,5,3,0,0,2,1,1,1,1,1
oficina360,com.techchallenger.oficina360.frameworks.mappers.veiculo,VeiculoDTOMapper,30,33,0,0,12,13,2,3,2,3
oficina360,com.techchallenger.oficina360.frameworks.web.controllers,OrdemServicoOficinaController,0,123,0,0,0,24,0,10,0,10
oficina360,com.techchallenger.oficina360.frameworks.web.controllers,EstoqueController,0,61,0,0,0,14,0,6,0,6
oficina360,com.techchallenger.oficina360.frameworks.web.controllers,AuthController,0,39,0,0,0,6,0,2,0,2
oficina360,com.techchallenger.oficina360.frameworks.web.controllers,ClientesController,0,50,0,0,0,10,0,5,0,5
oficina360,com.techchallenger.oficina360.frameworks.web.controllers,OrdemServicoClienteController,0,19,0,0,0,4,0,2,0,2
oficina360,com.techchallenger.oficina360.frameworks.web.controllers,VeiculosController,0,50,0,0,0,10,0,5,0,5
oficina360,com.techchallenger.oficina360.frameworks.web.controllers,ServicosController,0,50,0,0,0,10,0,5,0,5
oficina360,com.techchallenger.oficina360.dtos.clientes,ClienteDTO,0,15,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.frameworks.mappers.ordemservico,OrdemServicoServicoMapper,0,53,0,6,0,19,0,7,0,4
oficina360,com.techchallenger.oficina360.frameworks.mappers.ordemservico,OrdemServicoItemEstoqueDTOMapper,50,3,4,0,21,1,5,1,3,1
oficina360,com.techchallenger.oficina360.frameworks.mappers.ordemservico,OrdemServicoDTOMapper,34,296,1,13,13,96,1,22,0,16
oficina360,com.techchallenger.oficina360.usecases.veiculo.commands,VeiculoCommand,0,18,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.dtos.ordemservico,CriarOrdemServicoResponseDTO,0,18,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.dtos.ordemservico,DadosFinanceirosDTO,0,18,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.dtos.ordemservico,OrdemServicoDetailDTO,0,18,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.dtos.ordemservico,OrdemServicoDTO,0,15,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.dtos.ordemservico,AprovacaoOrdemServicoDTO,0,9,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.dtos.ordemservico,CriarOrdemServicoRequestDTO,0,12,0,0,0,1,0,1,0,1
oficina360,com.techchallenger.oficina360.usecases.servicos,CadastrarServicoUseCase,16,6,0,0,4,3,1,1,1,1
oficina360,com.techchallenger.oficina360.usecases.servicos,MovimentacaoEstoqueService,99,6,8,0,24,3,11,1,7,1
oficina360,com.techchallenger.oficina360.usecases.servicos,ListarServicosUseCase,0,45,0,2,0,17,0,4,0,3
oficina360,com.techchallenger.oficina360.usecases.servicos,BuscarServicoPorCodigoUseCase,0,20,0,0,0,4,0,3,0,3
oficina360,com.techchallenger.oficina360.usecases.servicos,AtualizarServicoUseCase,0,35,0,0,0,8,0,3,0,3
oficina360,com.techchallenger.oficina360.usecases.servicos,ExcluirServicoUseCase,0,23,0,0,0,7,0,3,0,3
